,Line,Speaker,Text,Date,sentences,words,start,end
171,172,Holt,Secretary Clinton...,2016-09-26,"['Secretary', 'Clinton', '...']","['Secretary', 'Clinton', '...']",5260.0,5261.5
172,173,Trump,"But we need -- Lester, we need law and order. And we need law and order in the inner cities, because the people that are most affected by what's happening are African-American and Hispanic people. And it's very unfair to them what our politicians are allowing to happen.",2016-09-26,"['But', 'we', 'need', '--', 'Lester', ',', 'we', 'need', 'law', 'and', 'order', '.', 'And', 'we', 'need', 'law', 'and', 'order', 'in', 'the', 'inner', 'cities', ',', 'because', 'the', 'people', 'that', 'are', 'most', 'affected', 'by', 'what', ""'s"", 'happening', 'are', 'African-American', 'and', 'Hispanic', 'people', '.', 'And', 'it', ""'s"", 'very', 'unfair', 'to', 'them', 'what', 'our', 'politicians', 'are', 'allowing', 'to', 'happen', '.']","['But', 'we', 'need', '--', 'Lester', ',', 'we', 'need', 'law', 'and', 'order', '.', 'And', 'we', 'need', 'law', 'and', 'order', 'in', 'the', 'inner', 'cities', ',', 'because', 'the', 'people', 'that', 'are', 'most', 'affected', 'by', 'what', ""'s"", 'happening', 'are', 'African-American', 'and', 'Hispanic', 'people', '.', 'And', 'it', ""'s"", 'very', 'unfair', 'to', 'them', 'what', 'our', 'politicians', 'are', 'allowing', 'to', 'happen', '.']",5262.5,5290.0
173,174,Holt,Secretary Clinton?,2016-09-26,"['Secretary', 'Clinton', '?']","['Secretary', 'Clinton', '?']",5291.0,5292.5
174,175,Clinton,"Well, I've heard -- I've heard Donald say this at his rallies, and it's really unfortunate that he paints such a dire negative picture of black communities in our country.",2016-09-26,"['Well', ',', 'I', ""'ve"", 'heard', '--', 'I', ""'ve"", 'heard', 'Donald', 'say', 'this', 'at', 'his', 'rallies', ',', 'and', 'it', ""'s"", 'really', 'unfortunate', 'that', 'he', 'paints', 'such', 'a', 'dire', 'negative', 'picture', 'of', 'black', 'communities', 'in', 'our', 'country', '.']","['Well', ',', 'I', ""'ve"", 'heard', '--', 'I', ""'ve"", 'heard', 'Donald', 'say', 'this', 'at', 'his', 'rallies', ',', 'and', 'it', ""'s"", 'really', 'unfortunate', 'that', 'he', 'paints', 'such', 'a', 'dire', 'negative', 'picture', 'of', 'black', 'communities', 'in', 'our', 'country', '.']",5293.5,5311.5
175,176,Trump,Ugh.,2016-09-26,"['Ugh', '.']","['Ugh', '.']",5312.5,5313.5
176,177,Clinton,"You know, the vibrancy of the black church, the black businesses that employ so many people, the opportunities that so many families are working to provide for their kids. There's a lot that we should be proud of and we should be supporting and lifting up. But we do always have to make sure we keep people safe. There are the right ways of doing it, and then there are ways that are ineffective. Stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective. It did not do what it needed to do. Now, I believe in community policing. And, in fact, violent crime is one-half of what it was in 1991. Property crime is down 40 percent. We just don't want to see it creep back up. We've had 25 years of very good cooperation. But there were some problems, some unintended consequences. Too many young African-American and Latino men ended up in jail for nonviolent offenses. And it's just a fact that if you're a young African-American man and you do the same thing as a young white man, you are more likely to be arrested, charged, convicted, and incarcerated. So we've got to address the systemic racism in our criminal justice system. We cannot just say law and order. We have to say -- we have to come forward with a plan that is going to divert people from the criminal justice system, deal with mandatory minimum sentences, which have put too many people away for too long for doing too little. We need to have more second chance programs. I'm glad that we're ending private prisons in the federal system; I want to see them ended in the state system. You shouldn't have a profit motivation to fill prison cells with young Americans. So there are some positive ways we can work on this. And I believe strongly that commonsense gun safety measures would assist us. Right now -- and this is something Donald has supported, along with the gun lobby -- right now, we've got too many military- style weapons on the streets. In a lot of places, our police are outgunned. We need comprehensive background checks, and we need to keep guns out of the hands of those who will do harm. And we finally need to pass a prohibition on anyone who's on the terrorist watch list from being able to buy a gun in our country. If you're too dangerous to fly, you are too dangerous to buy a gun. So there are things we can do, and we ought to do it in a bipartisan way.",2016-09-26,"['You', 'know', ',', 'the', 'vibrancy', 'of', 'the', 'black', 'church', ',', 'the', 'black', 'businesses', 'that', 'employ', 'so', 'many', 'people', ',', 'the', 'opportunities', 'that', 'so', 'many', 'families', 'are', 'working', 'to', 'provide', 'for', 'their', 'kids', '.', 'There', ""'s"", 'a', 'lot', 'that', 'we', 'should', 'be', 'proud', 'of', 'and', 'we', 'should', 'be', 'supporting', 'and', 'lifting', 'up', '.', 'But', 'we', 'do', 'always', 'have', 'to', 'make', 'sure', 'we', 'keep', 'people', 'safe', '.', 'There', 'are', 'the', 'right', 'ways', 'of', 'doing', 'it', ',', 'and', 'then', 'there', 'are', 'ways', 'that', 'are', 'ineffective', '.', 'Stop-and-frisk', 'was', 'found', 'to', 'be', 'unconstitutional', 'and', ',', 'in', 'part', ',', 'because', 'it', 'was', 'ineffective', '.', 'It', 'did', 'not', 'do', 'what', 'it', 'needed', 'to', 'do', '.', 'Now', ',', 'I', 'believe', 'in', 'community', 'policing', '.', 'And', ',', 'in', 'fact', ',', 'violent', 'crime', 'is', 'one-half', 'of', 'what', 'it', 'was', 'in', '1991', '.', 'Property', 'crime', 'is', 'down', '40', 'percent', '.', 'We', 'just', 'do', ""n't"", 'want', 'to', 'see', 'it', 'creep', 'back', 'up', '.', 'We', ""'ve"", 'had', '25', 'years', 'of', 'very', 'good', 'cooperation', '.', 'But', 'there', 'were', 'some', 'problems', ',', 'some', 'unintended', 'consequences', '.', 'Too', 'many', 'young', 'African-American', 'and', 'Latino', 'men', 'ended', 'up', 'in', 'jail', 'for', 'nonviolent', 'offenses', '.', 'And', 'it', ""'s"", 'just', 'a', 'fact', 'that', 'if', 'you', ""'re"", 'a', 'young', 'African-American', 'man', 'and', 'you', 'do', 'the', 'same', 'thing', 'as', 'a', 'young', 'white', 'man', ',', 'you', 'are', 'more', 'likely', 'to', 'be', 'arrested', ',', 'charged', ',', 'convicted', ',', 'and', 'incarcerated', '.', 'So', 'we', ""'ve"", 'got', 'to', 'address', 'the', 'systemic', 'racism', 'in', 'our', 'criminal', 'justice', 'system', '.', 'We', 'can', 'not', 'just', 'say', 'law', 'and', 'order', '.', 'We', 'have', 'to', 'say', '--', 'we', 'have', 'to', 'come', 'forward', 'with', 'a', 'plan', 'that', 'is', 'going', 'to', 'divert', 'people', 'from', 'the', 'criminal', 'justice', 'system', ',', 'deal', 'with', 'mandatory', 'minimum', 'sentences', ',', 'which', 'have', 'put', 'too', 'many', 'people', 'away', 'for', 'too', 'long', 'for', 'doing', 'too', 'little', '.', 'We', 'need', 'to', 'have', 'more', 'second', 'chance', 'programs', '.', 'I', ""'m"", 'glad', 'that', 'we', ""'re"", 'ending', 'private', 'prisons', 'in', 'the', 'federal', 'system', ';', 'I', 'want', 'to', 'see', 'them', 'ended', 'in', 'the', 'state', 'system', '.', 'You', 'should', ""n't"", 'have', 'a', 'profit', 'motivation', 'to', 'fill', 'prison', 'cells', 'with', 'young', 'Americans', '.', 'So', 'there', 'are', 'some', 'positive', 'ways', 'we', 'can', 'work', 'on', 'this', '.', 'And', 'I', 'believe', 'strongly', 'that', 'commonsense', 'gun', 'safety', 'measures', 'would', 'assist', 'us', '.', 'Right', 'now', '--', 'and', 'this', 'is', 'something', 'Donald', 'has', 'supported', ',', 'along', 'with', 'the', 'gun', 'lobby', '--', 'right', 'now', ',', 'we', ""'ve"", 'got', 'too', 'many', 'military-', 'style', 'weapons', 'on', 'the', 'streets', '.', 'In', 'a', 'lot', 'of', 'places', ',', 'our', 'police', 'are', 'outgunned', '.', 'We', 'need', 'comprehensive', 'background', 'checks', ',', 'and', 'we', 'need', 'to', 'keep', 'guns', 'out', 'of', 'the', 'hands', 'of', 'those', 'who', 'will', 'do', 'harm', '.', 'And', 'we', 'finally', 'need', 'to', 'pass', 'a', 'prohibition', 'on', 'anyone', 'who', ""'s"", 'on', 'the', 'terrorist', 'watch', 'list', 'from', 'being', 'able', 'to', 'buy', 'a', 'gun', 'in', 'our', 'country', '.', 'If', 'you', ""'re"", 'too', 'dangerous', 'to', 'fly', ',', 'you', 'are', 'too', 'dangerous', 'to', 'buy', 'a', 'gun', '.', 'So', 'there', 'are', 'things', 'we', 'can', 'do', ',', 'and', 'we', 'ought', 'to', 'do', 'it', 'in', 'a', 'bipartisan', 'way', '.']","['You', 'know', ',', 'the', 'vibrancy', 'of', 'the', 'black', 'church', ',', 'the', 'black', 'businesses', 'that', 'employ', 'so', 'many', 'people', ',', 'the', 'opportunities', 'that', 'so', 'many', 'families', 'are', 'working', 'to', 'provide', 'for', 'their', 'kids', '.', 'There', ""'s"", 'a', 'lot', 'that', 'we', 'should', 'be', 'proud', 'of', 'and', 'we', 'should', 'be', 'supporting', 'and', 'lifting', 'up', '.', 'But', 'we', 'do', 'always', 'have', 'to', 'make', 'sure', 'we', 'keep', 'people', 'safe', '.', 'There', 'are', 'the', 'right', 'ways', 'of', 'doing', 'it', ',', 'and', 'then', 'there', 'are', 'ways', 'that', 'are', 'ineffective', '.', 'Stop-and-frisk', 'was', 'found', 'to', 'be', 'unconstitutional', 'and', ',', 'in', 'part', ',', 'because', 'it', 'was', 'ineffective', '.', 'It', 'did', 'not', 'do', 'what', 'it', 'needed', 'to', 'do', '.', 'Now', ',', 'I', 'believe', 'in', 'community', 'policing', '.', 'And', ',', 'in', 'fact', ',', 'violent', 'crime', 'is', 'one-half', 'of', 'what', 'it', 'was', 'in', '1991', '.', 'Property', 'crime', 'is', 'down', '40', 'percent', '.', 'We', 'just', 'do', ""n't"", 'want', 'to', 'see', 'it', 'creep', 'back', 'up', '.', 'We', ""'ve"", 'had', '25', 'years', 'of', 'very', 'good', 'cooperation', '.', 'But', 'there', 'were', 'some', 'problems', ',', 'some', 'unintended', 'consequences', '.', 'Too', 'many', 'young', 'African-American', 'and', 'Latino', 'men', 'ended', 'up', 'in', 'jail', 'for', 'nonviolent', 'offenses', '.', 'And', 'it', ""'s"", 'just', 'a', 'fact', 'that', 'if', 'you', ""'re"", 'a', 'young', 'African-American', 'man', 'and', 'you', 'do', 'the', 'same', 'thing', 'as', 'a', 'young', 'white', 'man', ',', 'you', 'are', 'more', 'likely', 'to', 'be', 'arrested', ',', 'charged', ',', 'convicted', ',', 'and', 'incarcerated', '.', 'So', 'we', ""'ve"", 'got', 'to', 'address', 'the', 'systemic', 'racism', 'in', 'our', 'criminal', 'justice', 'system', '.', 'We', 'can', 'not', 'just', 'say', 'law', 'and', 'order', '.', 'We', 'have', 'to', 'say', '--', 'we', 'have', 'to', 'come', 'forward', 'with', 'a', 'plan', 'that', 'is', 'going', 'to', 'divert', 'people', 'from', 'the', 'criminal', 'justice', 'system', ',', 'deal', 'with', 'mandatory', 'minimum', 'sentences', ',', 'which', 'have', 'put', 'too', 'many', 'people', 'away', 'for', 'too', 'long', 'for', 'doing', 'too', 'little', '.', 'We', 'need', 'to', 'have', 'more', 'second', 'chance', 'programs', '.', 'I', ""'m"", 'glad', 'that', 'we', ""'re"", 'ending', 'private', 'prisons', 'in', 'the', 'federal', 'system', ';', 'I', 'want', 'to', 'see', 'them', 'ended', 'in', 'the', 'state', 'system', '.', 'You', 'should', ""n't"", 'have', 'a', 'profit', 'motivation', 'to', 'fill', 'prison', 'cells', 'with', 'young', 'Americans', '.', 'So', 'there', 'are', 'some', 'positive', 'ways', 'we', 'can', 'work', 'on', 'this', '.', 'And', 'I', 'believe', 'strongly', 'that', 'commonsense', 'gun', 'safety', 'measures', 'would', 'assist', 'us', '.', 'Right', 'now', '--', 'and', 'this', 'is', 'something', 'Donald', 'has', 'supported', ',', 'along', 'with', 'the', 'gun', 'lobby', '--', 'right', 'now', ',', 'we', ""'ve"", 'got', 'too', 'many', 'military-', 'style', 'weapons', 'on', 'the', 'streets', '.', 'In', 'a', 'lot', 'of', 'places', ',', 'our', 'police', 'are', 'outgunned', '.', 'We', 'need', 'comprehensive', 'background', 'checks', ',', 'and', 'we', 'need', 'to', 'keep', 'guns', 'out', 'of', 'the', 'hands', 'of', 'those', 'who', 'will', 'do', 'harm', '.', 'And', 'we', 'finally', 'need', 'to', 'pass', 'a', 'prohibition', 'on', 'anyone', 'who', ""'s"", 'on', 'the', 'terrorist', 'watch', 'list', 'from', 'being', 'able', 'to', 'buy', 'a', 'gun', 'in', 'our', 'country', '.', 'If', 'you', ""'re"", 'too', 'dangerous', 'to', 'fly', ',', 'you', 'are', 'too', 'dangerous', 'to', 'buy', 'a', 'gun', '.', 'So', 'there', 'are', 'things', 'we', 'can', 'do', ',', 'and', 'we', 'ought', 'to', 'do', 'it', 'in', 'a', 'bipartisan', 'way', '.']",5314.5,5565.5
177,178,Holt,"Secretary Clinton, last week, you said we've got to do everything possible to improve policing, to go right at implicit bias. Do you believe that police are implicitly biased against black people?",2016-09-26,"['Secretary', 'Clinton', ',', 'last', 'week', ',', 'you', 'said', 'we', ""'ve"", 'got', 'to', 'do', 'everything', 'possible', 'to', 'improve', 'policing', ',', 'to', 'go', 'right', 'at', 'implicit', 'bias', '.', 'Do', 'you', 'believe', 'that', 'police', 'are', 'implicitly', 'biased', 'against', 'black', 'people', '?']","['Secretary', 'Clinton', ',', 'last', 'week', ',', 'you', 'said', 'we', ""'ve"", 'got', 'to', 'do', 'everything', 'possible', 'to', 'improve', 'policing', ',', 'to', 'go', 'right', 'at', 'implicit', 'bias', '.', 'Do', 'you', 'believe', 'that', 'police', 'are', 'implicitly', 'biased', 'against', 'black', 'people', '?']",5566.5,5585.5
178,179,Clinton,"Lester, I think implicit bias is a problem for everyone, not just police. I think, unfortunately, too many of us in our great country jump to conclusions about each other. And therefore, I think we need all of us to be asking hard questions about, you know, why am I feeling this way? But when it comes to policing, since it can have literally fatal consequences, I have said, in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers. I've met with a group of very distinguished, experienced police chiefs a few weeks ago. They admit it's an issue. They've got a lot of concerns. Mental health is one of the biggest concerns, because now police are having to handle a lot of really difficult mental health problems on the street.",2016-09-26,"['Lester', ',', 'I', 'think', 'implicit', 'bias', 'is', 'a', 'problem', 'for', 'everyone', ',', 'not', 'just', 'police', '.', 'I', 'think', ',', 'unfortunately', ',', 'too', 'many', 'of', 'us', 'in', 'our', 'great', 'country', 'jump', 'to', 'conclusions', 'about', 'each', 'other', '.', 'And', 'therefore', ',', 'I', 'think', 'we', 'need', 'all', 'of', 'us', 'to', 'be', 'asking', 'hard', 'questions', 'about', ',', 'you', 'know', ',', 'why', 'am', 'I', 'feeling', 'this', 'way', '?', 'But', 'when', 'it', 'comes', 'to', 'policing', ',', 'since', 'it', 'can', 'have', 'literally', 'fatal', 'consequences', ',', 'I', 'have', 'said', ',', 'in', 'my', 'first', 'budget', ',', 'we', 'would', 'put', 'money', 'into', 'that', 'budget', 'to', 'help', 'us', 'deal', 'with', 'implicit', 'bias', 'by', 'retraining', 'a', 'lot', 'of', 'our', 'police', 'officers', '.', 'I', ""'ve"", 'met', 'with', 'a', 'group', 'of', 'very', 'distinguished', ',', 'experienced', 'police', 'chiefs', 'a', 'few', 'weeks', 'ago', '.', 'They', 'admit', 'it', ""'s"", 'an', 'issue', '.', 'They', ""'ve"", 'got', 'a', 'lot', 'of', 'concerns', '.', 'Mental', 'health', 'is', 'one', 'of', 'the', 'biggest', 'concerns', ',', 'because', 'now', 'police', 'are', 'having', 'to', 'handle', 'a', 'lot', 'of', 'really', 'difficult', 'mental', 'health', 'problems', 'on', 'the', 'street', '.']","['Lester', ',', 'I', 'think', 'implicit', 'bias', 'is', 'a', 'problem', 'for', 'everyone', ',', 'not', 'just', 'police', '.', 'I', 'think', ',', 'unfortunately', ',', 'too', 'many', 'of', 'us', 'in', 'our', 'great', 'country', 'jump', 'to', 'conclusions', 'about', 'each', 'other', '.', 'And', 'therefore', ',', 'I', 'think', 'we', 'need', 'all', 'of', 'us', 'to', 'be', 'asking', 'hard', 'questions', 'about', ',', 'you', 'know', ',', 'why', 'am', 'I', 'feeling', 'this', 'way', '?', 'But', 'when', 'it', 'comes', 'to', 'policing', ',', 'since', 'it', 'can', 'have', 'literally', 'fatal', 'consequences', ',', 'I', 'have', 'said', ',', 'in', 'my', 'first', 'budget', ',', 'we', 'would', 'put', 'money', 'into', 'that', 'budget', 'to', 'help', 'us', 'deal', 'with', 'implicit', 'bias', 'by', 'retraining', 'a', 'lot', 'of', 'our', 'police', 'officers', '.', 'I', ""'ve"", 'met', 'with', 'a', 'group', 'of', 'very', 'distinguished', ',', 'experienced', 'police', 'chiefs', 'a', 'few', 'weeks', 'ago', '.', 'They', 'admit', 'it', ""'s"", 'an', 'issue', '.', 'They', ""'ve"", 'got', 'a', 'lot', 'of', 'concerns', '.', 'Mental', 'health', 'is', 'one', 'of', 'the', 'biggest', 'concerns', ',', 'because', 'now', 'police', 'are', 'having', 'to', 'handle', 'a', 'lot', 'of', 'really', 'difficult', 'mental', 'health', 'problems', 'on', 'the', 'street', '.']",5586.5,5672.0
179,180,Clinton,"They want support, they want more training, they want more assistance. And I think the federal government could be in a position where we would offer and provide that.",2016-09-26,"['They', 'want', 'support', ',', 'they', 'want', 'more', 'training', ',', 'they', 'want', 'more', 'assistance', '.', 'And', 'I', 'think', 'the', 'federal', 'government', 'could', 'be', 'in', 'a', 'position', 'where', 'we', 'would', 'offer', 'and', 'provide', 'that', '.']","['They', 'want', 'support', ',', 'they', 'want', 'more', 'training', ',', 'they', 'want', 'more', 'assistance', '.', 'And', 'I', 'think', 'the', 'federal', 'government', 'could', 'be', 'in', 'a', 'position', 'where', 'we', 'would', 'offer', 'and', 'provide', 'that', '.']",5673.0,5689.5
180,181,Holt,Mr. Trump...,2016-09-26,"['Mr.', 'Trump', '...']","['Mr.', 'Trump', '...']",5690.5,5692.0
181,182,Trump,I'd like to respond to that.,2016-09-26,"['I', ""'d"", 'like', 'to', 'respond', 'to', 'that', '.']","['I', ""'d"", 'like', 'to', 'respond', 'to', 'that', '.']",5693.0,5697.0
182,183,Holt,Please.,2016-09-26,"['Please', '.']","['Please', '.']",5698.0,5699.0
183,184,Trump,"First of all, I agree, and a lot of people even within my own party want to give certain rights to people on watch lists and no- fly lists. I agree with you. When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I'm very proud of. These are very, very good people, and they're protecting the Second Amendment. But I think we have to look very strongly at no-fly lists and watch lists. And when people are on there, even if they shouldn't be on there, we'll help them, we'll help them legally, we'll help them get off. But I tend to agree with that quite strongly. I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth. And that's a term that I think was a -- it's -- it's been horribly met, as you know. I think you've apologized for it. But I think it was a terrible thing to say. And when it comes to stop-and-frisk, you know, you're talking about takes guns away. Well, I'm talking about taking guns away from gangs and people that use them. And I don't think -- I really don't think you disagree with me on this, if you want to know the truth. I think maybe there's a political reason why you can't say it, but I really don't believe -- in New York City, stop-and-frisk, we had 2,200 murders, and stop-and-frisk brought it down to 500 murders. Five hundred murders is a lot of murders. It's hard to believe, 500 is like supposed to be good? But we went from 2,200 to 500. And it was continued on by Mayor Bloomberg. And it was terminated by current mayor. But stop-and- frisk had a tremendous impact on the safety of New York City. Tremendous beyond belief. So when you say it has no impact, it really did. It had a very, very big impact.",2016-09-26,"['First', 'of', 'all', ',', 'I', 'agree', ',', 'and', 'a', 'lot', 'of', 'people', 'even', 'within', 'my', 'own', 'party', 'want', 'to', 'give', 'certain', 'rights', 'to', 'people', 'on', 'watch', 'lists', 'and', 'no-', 'fly', 'lists', '.', 'I', 'agree', 'with', 'you', '.', 'When', 'a', 'person', 'is', 'on', 'a', 'watch', 'list', 'or', 'a', 'no-fly', 'list', ',', 'and', 'I', 'have', 'the', 'endorsement', 'of', 'the', 'NRA', ',', 'which', 'I', ""'m"", 'very', 'proud', 'of', '.', 'These', 'are', 'very', ',', 'very', 'good', 'people', ',', 'and', 'they', ""'re"", 'protecting', 'the', 'Second', 'Amendment', '.', 'But', 'I', 'think', 'we', 'have', 'to', 'look', 'very', 'strongly', 'at', 'no-fly', 'lists', 'and', 'watch', 'lists', '.', 'And', 'when', 'people', 'are', 'on', 'there', ',', 'even', 'if', 'they', 'should', ""n't"", 'be', 'on', 'there', ',', 'we', ""'ll"", 'help', 'them', ',', 'we', ""'ll"", 'help', 'them', 'legally', ',', 'we', ""'ll"", 'help', 'them', 'get', 'off', '.', 'But', 'I', 'tend', 'to', 'agree', 'with', 'that', 'quite', 'strongly', '.', 'I', 'do', 'want', 'to', 'bring', 'up', 'the', 'fact', 'that', 'you', 'were', 'the', 'one', 'that', 'brought', 'up', 'the', 'words', 'super-predator', 'about', 'young', 'black', 'youth', '.', 'And', 'that', ""'s"", 'a', 'term', 'that', 'I', 'think', 'was', 'a', '--', 'it', ""'s"", '--', 'it', ""'s"", 'been', 'horribly', 'met', ',', 'as', 'you', 'know', '.', 'I', 'think', 'you', ""'ve"", 'apologized', 'for', 'it', '.', 'But', 'I', 'think', 'it', 'was', 'a', 'terrible', 'thing', 'to', 'say', '.', 'And', 'when', 'it', 'comes', 'to', 'stop-and-frisk', ',', 'you', 'know', ',', 'you', ""'re"", 'talking', 'about', 'takes', 'guns', 'away', '.', 'Well', ',', 'I', ""'m"", 'talking', 'about', 'taking', 'guns', 'away', 'from', 'gangs', 'and', 'people', 'that', 'use', 'them', '.', 'And', 'I', 'do', ""n't"", 'think', '--', 'I', 'really', 'do', ""n't"", 'think', 'you', 'disagree', 'with', 'me', 'on', 'this', ',', 'if', 'you', 'want', 'to', 'know', 'the', 'truth', '.', 'I', 'think', 'maybe', 'there', ""'s"", 'a', 'political', 'reason', 'why', 'you', 'ca', ""n't"", 'say', 'it', ',', 'but', 'I', 'really', 'do', ""n't"", 'believe', '--', 'in', 'New', 'York', 'City', ',', 'stop-and-frisk', ',', 'we', 'had', '2,200', 'murders', ',', 'and', 'stop-and-frisk', 'brought', 'it', 'down', 'to', '500', 'murders', '.', 'Five', 'hundred', 'murders', 'is', 'a', 'lot', 'of', 'murders', '.', 'It', ""'s"", 'hard', 'to', 'believe', ',', '500', 'is', 'like', 'supposed', 'to', 'be', 'good', '?', 'But', 'we', 'went', 'from', '2,200', 'to', '500', '.', 'And', 'it', 'was', 'continued', 'on', 'by', 'Mayor', 'Bloomberg', '.', 'And', 'it', 'was', 'terminated', 'by', 'current', 'mayor', '.', 'But', 'stop-and-', 'frisk', 'had', 'a', 'tremendous', 'impact', 'on', 'the', 'safety', 'of', 'New', 'York', 'City', '.', 'Tremendous', 'beyond', 'belief', '.', 'So', 'when', 'you', 'say', 'it', 'has', 'no', 'impact', ',', 'it', 'really', 'did', '.', 'It', 'had', 'a', 'very', ',', 'very', 'big', 'impact', '.']","['First', 'of', 'all', ',', 'I', 'agree', ',', 'and', 'a', 'lot', 'of', 'people', 'even', 'within', 'my', 'own', 'party', 'want', 'to', 'give', 'certain', 'rights', 'to', 'people', 'on', 'watch', 'lists', 'and', 'no-', 'fly', 'lists', '.', 'I', 'agree', 'with', 'you', '.', 'When', 'a', 'person', 'is', 'on', 'a', 'watch', 'list', 'or', 'a', 'no-fly', 'list', ',', 'and', 'I', 'have', 'the', 'endorsement', 'of', 'the', 'NRA', ',', 'which', 'I', ""'m"", 'very', 'proud', 'of', '.', 'These', 'are', 'very', ',', 'very', 'good', 'people', ',', 'and', 'they', ""'re"", 'protecting', 'the', 'Second', 'Amendment', '.', 'But', 'I', 'think', 'we', 'have', 'to', 'look', 'very', 'strongly', 'at', 'no-fly', 'lists', 'and', 'watch', 'lists', '.', 'And', 'when', 'people', 'are', 'on', 'there', ',', 'even', 'if', 'they', 'should', ""n't"", 'be', 'on', 'there', ',', 'we', ""'ll"", 'help', 'them', ',', 'we', ""'ll"", 'help', 'them', 'legally', ',', 'we', ""'ll"", 'help', 'them', 'get', 'off', '.', 'But', 'I', 'tend', 'to', 'agree', 'with', 'that', 'quite', 'strongly', '.', 'I', 'do', 'want', 'to', 'bring', 'up', 'the', 'fact', 'that', 'you', 'were', 'the', 'one', 'that', 'brought', 'up', 'the', 'words', 'super-predator', 'about', 'young', 'black', 'youth', '.', 'And', 'that', ""'s"", 'a', 'term', 'that', 'I', 'think', 'was', 'a', '--', 'it', ""'s"", '--', 'it', ""'s"", 'been', 'horribly', 'met', ',', 'as', 'you', 'know', '.', 'I', 'think', 'you', ""'ve"", 'apologized', 'for', 'it', '.', 'But', 'I', 'think', 'it', 'was', 'a', 'terrible', 'thing', 'to', 'say', '.', 'And', 'when', 'it', 'comes', 'to', 'stop-and-frisk', ',', 'you', 'know', ',', 'you', ""'re"", 'talking', 'about', 'takes', 'guns', 'away', '.', 'Well', ',', 'I', ""'m"", 'talking', 'about', 'taking', 'guns', 'away', 'from', 'gangs', 'and', 'people', 'that', 'use', 'them', '.', 'And', 'I', 'do', ""n't"", 'think', '--', 'I', 'really', 'do', ""n't"", 'think', 'you', 'disagree', 'with', 'me', 'on', 'this', ',', 'if', 'you', 'want', 'to', 'know', 'the', 'truth', '.', 'I', 'think', 'maybe', 'there', ""'s"", 'a', 'political', 'reason', 'why', 'you', 'ca', ""n't"", 'say', 'it', ',', 'but', 'I', 'really', 'do', ""n't"", 'believe', '--', 'in', 'New', 'York', 'City', ',', 'stop-and-frisk', ',', 'we', 'had', '2,200', 'murders', ',', 'and', 'stop-and-frisk', 'brought', 'it', 'down', 'to', '500', 'murders', '.', 'Five', 'hundred', 'murders', 'is', 'a', 'lot', 'of', 'murders', '.', 'It', ""'s"", 'hard', 'to', 'believe', ',', '500', 'is', 'like', 'supposed', 'to', 'be', 'good', '?', 'But', 'we', 'went', 'from', '2,200', 'to', '500', '.', 'And', 'it', 'was', 'continued', 'on', 'by', 'Mayor', 'Bloomberg', '.', 'And', 'it', 'was', 'terminated', 'by', 'current', 'mayor', '.', 'But', 'stop-and-', 'frisk', 'had', 'a', 'tremendous', 'impact', 'on', 'the', 'safety', 'of', 'New', 'York', 'City', '.', 'Tremendous', 'beyond', 'belief', '.', 'So', 'when', 'you', 'say', 'it', 'has', 'no', 'impact', ',', 'it', 'really', 'did', '.', 'It', 'had', 'a', 'very', ',', 'very', 'big', 'impact', '.']",5700.0,5901.0
184,185,Clinton,"Well, it's also fair to say, if we're going to talk about mayors, that under the current mayor, crime has continued to drop, including murders. So there is...",2016-09-26,"['Well', ',', 'it', ""'s"", 'also', 'fair', 'to', 'say', ',', 'if', 'we', ""'re"", 'going', 'to', 'talk', 'about', 'mayors', ',', 'that', 'under', 'the', 'current', 'mayor', ',', 'crime', 'has', 'continued', 'to', 'drop', ',', 'including', 'murders', '.', 'So', 'there', 'is', '...']","['Well', ',', 'it', ""'s"", 'also', 'fair', 'to', 'say', ',', 'if', 'we', ""'re"", 'going', 'to', 'talk', 'about', 'mayors', ',', 'that', 'under', 'the', 'current', 'mayor', ',', 'crime', 'has', 'continued', 'to', 'drop', ',', 'including', 'murders', '.', 'So', 'there', 'is', '...']",5902.0,5920.5
185,186,Trump,"No, you're wrong. You're wrong.",2016-09-26,"['No', ',', 'you', ""'re"", 'wrong', '.', 'You', ""'re"", 'wrong', '.']","['No', ',', 'you', ""'re"", 'wrong', '.', 'You', ""'re"", 'wrong', '.']",5921.5,5926.5
186,187,Clinton,"No, I'm not.",2016-09-26,"['No', ',', 'I', ""'m"", 'not', '.']","['No', ',', 'I', ""'m"", 'not', '.']",5927.5,5930.5
187,188,Trump,Murders are up. All right. You check it.,2016-09-26,"['Murders', 'are', 'up', '.', 'All', 'right', '.', 'You', 'check', 'it', '.']","['Murders', 'are', 'up', '.', 'All', 'right', '.', 'You', 'check', 'it', '.']",5931.5,5937.0
